,full_name,緯度,経度
351,北海道札幌市中央区北八条西十九丁目,43.067476,141.325475
352,北海道札幌市中央区北八条西二十丁目,43.067234,141.323768
353,北海道札幌市中央区北八条西二十一丁目,43.067047,141.322423
354,北海道札幌市中央区北八条西二十二丁目,43.066879,141.32132
355,北海道札幌市中央区北八条西二十三丁目,43.066734,141.320079
356,北海道札幌市中央区北八条西二十四丁目,43.066557,141.318451
357,北海道札幌市中央区北八条西二十五丁目,43.066925,141.317382
358,北海道札幌市中央区北八条西二十六丁目,43.066542,141.316045
359,北海道札幌市中央区北九条西十三丁目,43.06964,141.334116
360,北海道札幌市中央区北九条西十四丁目,43.069725,141.332938
361,北海道札幌市中央区北九条西十五丁目,43.069456,141.331272
362,北海道札幌市中央区北九条西十六丁目,43.06925,141.329707
363,北海道札幌市中央区北九条西十七丁目,43.069032,141.328148
364,北海道札幌市中央区北九条西十八丁目,43.068819,141.326586
365,北海道札幌市中央区北九条西十九丁目,43.068602,141.32503
366,北海道札幌市中央区北九条西二十丁目,43.068383,141.323479
367,北海道札幌市中央区北九条西二十一丁目,43.068047,141.321878
368,北海道札幌市中央区北九条西二十二丁目,43.068022,141.320817
369,北海道札幌市中央区北九条西二十三丁目,43.067824,141.319706
370,北海道札幌市中央区北九条西二十四丁目,43.068077,141.317676
371,北海道札幌市中央区界川一丁目,43.041232,141.318139
372,北海道札幌市中央区界川二丁目,43.036309,141.316648
373,北海道札幌市中央区界川三丁目,43.036178,141.313016
374,北海道札幌市中央区界川四丁目,43.039094,141.313444
375,北海道札幌市中央区中島公園,43.044502,141.354139
376,北海道札幌市中央区盤渓,43.022662,141.268641
377,北海道札幌市中央区伏見一丁目,43.037161,141.326716
378,北海道札幌市中央区伏見二丁目,43.035746,141.326477
379,北海道札幌市中央区伏見三丁目,43.032254,141.324369
380,北海道札幌市中央区伏見四丁目,43.033845,141.329279
381,北海道札幌市中央区伏見五丁目,43.030687,141.330788
382,北海道札幌市中央区双子山一丁目,43.044045,141.318234
383,北海道札幌市中央区双子山二丁目,43.043934,141.315608
384,北海道札幌市中央区双子山三丁目,43.043338,141.312937
385,北海道札幌市中央区双子山四丁目,43.041151,141.312289
386,北海道札幌市中央区円山,43.048597,141.313997
387,北海道札幌市中央区円山西町,43.035239,141.302385
388,北海道札幌市中央区円山西町十丁目,43.046263,141.309887
389,北海道札幌市中央区円山西町一丁目,43.048187,141.303126
390,北海道札幌市中央区円山西町二丁目,43.044543,141.301097
391,北海道札幌市中央区円山西町三丁目,43.042976,141.305137
392,北海道札幌市中央区円山西町四丁目,43.040497,141.304838
393,北海道札幌市中央区円山西町五丁目,43.037765,141.303277
394,北海道札幌市中央区円山西町六丁目,43.040835,141.307494
