"都道府県コード","都道府県名","都道府県名カナ","都道府県名ローマ字","市区町村コード","市区町村名","市区町村名カナ","市区町村名ローマ字","大字町丁目名","大字町丁目名カナ","大字町丁目名ローマ字","小字・通称名","緯度","経度"
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里山川町三丁目","シュリヤマガワチョウ 3","SHURI YAMAGAWACHO 3",,26.220219,127.708793
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里寒川町一丁目","シュリサムカワチョウ 1","SHURI SAMUKAWACHO 1",,26.217332,127.711456
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里寒川町二丁目","シュリサムカワチョウ 2","SHURI SAMUKAWACHO 2",,26.218089,127.708823
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","松川三丁目","マツガワ 3","MATSUGAWA 3",,26.215961,127.707067
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","字松川",,,,26.219469,127.705042
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","おもろまち一丁目","オモロマチ 1","OMOROMACHI 1",,26.223619,127.694669
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","おもろまち四丁目","オモロマチ 4","OMOROMACHI 4",,26.225571,127.696701
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","松川一丁目","マツガワ 1","MATSUGAWA 1",,26.214325,127.703179
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","松川二丁目","マツガワ 2","MATSUGAWA 2",,26.217009,127.702075
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","字大道",,,,26.218866,127.699278
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","安里三丁目","アサト 3","ASATO 3",,26.220181,127.696607
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","字安里",,,,26.21835,127.697251
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","牧志二丁目","マキシ 2","MAKISHI 2",,26.218221,127.689529
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","泊一丁目","トマリ 1","TOMARI 1",,26.222385,127.689187
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","牧志三丁目","マキシ 3","MAKISHI 3",,26.215224,127.689835
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","安里二丁目","アサト 2","ASATO 2",,26.21679,127.695192
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","安里一丁目","アサト 1","ASATO 1",,26.219079,127.693349
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","辻三丁目","ツジ 3","TSUJI 3",,26.220214,127.668078
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","前島三丁目","マエジマ 3","MAEJIMA 3",,26.223433,127.682683
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","前島二丁目","マエジマ 2","MAEJIMA 2",,26.222561,127.685193
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","若狭二丁目","ワカサ 2","WAKASA 2",,26.2214,127.675852
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","若狭三丁目","ワカサ 3","WAKASA 3",,26.223301,127.678483
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","牧志一丁目","マキシ 1","MAKISHI 1",,26.21726,127.684835
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","久茂地三丁目","クモジ 3","KUMOJI 3",,26.215476,127.682265
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","前島一丁目","マエジマ 1","MAEJIMA 1",,26.221012,127.686655
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","松山二丁目","マツヤマ 2","MATSUYAMA 2",,26.22033,127.680447
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","久茂地二丁目","クモジ 2","KUMOJI 2",,26.217778,127.681503
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","若狭一丁目","ワカサ 1","WAKASA 1",,26.220268,127.67284
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","松山一丁目","マツヤマ 1","MATSUYAMA 1",,26.218487,127.678072
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","久米一丁目","クメ 1","KUME 1",,26.215825,127.673038
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","久茂地一丁目","クモジ 1","KUMOJI 1",,26.214432,127.67841
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","久米二丁目","クメ 2","KUME 2",,26.216488,127.675962
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","辻二丁目","ツジ 2","TSUJI 2",,26.218293,127.670632
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","辻一丁目","ツジ 1","TSUJI 1",,26.216189,127.669835
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","西三丁目","ニシ 3","NISHI 3",,26.217241,127.665343
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","西二丁目","ニシ 2","NISHI 2",,26.213489,127.669228
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里崎山町四丁目","シュリサキヤマチョウ 4","SHURI SAKIYAMACHO 4",,26.210518,127.721489
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","識名四丁目","シキナ 4","SHIKINA 4",,26.20333,127.710612
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","識名三丁目","シキナ 3","SHIKINA 3",,26.204746,127.70676
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","字真地",,,,26.203259,127.719911
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","繁多川二丁目","ハンタガワ 2","HANTAGAWA 2",,26.211893,127.710643
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","繁多川四丁目","ハンタガワ 4","HANTAGAWA 4",,26.210929,127.71613
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","繁多川一丁目","ハンタガワ 1","HANTAGAWA 1",,26.212368,127.706248
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","識名二丁目","シキナ 2","SHIKINA 2",,26.207269,127.710332
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","繁多川五丁目","ハンタガワ 5","HANTAGAWA 5",,26.209387,127.70987
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","識名一丁目","シキナ 1","SHIKINA 1",,26.207251,127.704441
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","三原三丁目","ミハラ 3","MIHARA 3",,26.20957,127.70247
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","長田一丁目","ナガタ 1","NAGATA 1",,26.203349,127.700931
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","三原二丁目","ミハラ 2","MIHARA 2",,26.212431,127.701975
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","字与儀",,,,26.202522,127.694632
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","字寄宮",,,,26.205012,127.698509
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","与儀二丁目","ヨギ 2","YOGI 2",,26.202408,127.691098
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","寄宮二丁目","ヨリミヤ 2","YORIMIYA 2",,26.208149,127.697331
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","壺屋二丁目","ツボヤ 2","TSUBOYA 2",,26.212732,127.694859
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","寄宮三丁目","ヨリミヤ 3","YORIMIYA 3",,26.208206,127.700507
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","三原一丁目","ミハラ 1","MIHARA 1",,26.212696,127.697736
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","松尾二丁目","マツオ 2","MATSUO 2",,26.213522,127.686884
